[1451883600] LOG ROTATION: DAILY
[1451883600] LOG VERSION: 2.0
[1451883600] CURRENT SERVICE STATE: emuprintps;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1451883600] CURRENT SERVICE STATE: emuprintps;Service: RPC;OK;HARD;1;RpcSs: Started
[1451883600] CURRENT SERVICE STATE: emuprintps;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1451883600] CURRENT SERVICE STATE: emuprintps;Service: WMI;OK;HARD;1;Winmgmt: Started
[1451883600] CURRENT SERVICE STATE: emuprintps;Service: Windows Time;OK;HARD;1;W32Time: Started
[1451883600] CURRENT SERVICE STATE: emuprintps;Uptime;OK;HARD;1;System Uptime - 16 day(s) 1 hour(s) 12 minute(s)
[1451883600] CURRENT SERVICE STATE: emuscript;C:\ Drive Space;OK;HARD;1;c:\ - total: 79.66 Gb - used: 15.23 Gb (19%) - free 64.43 Gb (81%)
[1451883600] CURRENT SERVICE STATE: emuscript;CPU Load;OK;HARD;1;CPU Load 1% (5 min average)
[1451883600] CURRENT SERVICE STATE: emuscript;Memory Usage;OK;HARD;1;Memory usage: total:4799.59 MB - used: 1104.25 MB (23%) - free: 3695.34 MB (77%)
[1451883600] CURRENT SERVICE STATE: emuscript;NSClient++ Version;OK;HARD;1;NSClient++ 0,4,1,73 2012-12-17
[1451883600] CURRENT SERVICE STATE: emuscript;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: RPC;OK;HARD;1;RpcSs: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: WMI;OK;HARD;1;Winmgmt: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Service: Windows Time;OK;HARD;1;W32Time: Started
[1451883600] CURRENT SERVICE STATE: emuscript;Uptime;OK;HARD;1;System Uptime - 13 day(s) 13 hour(s) 6 minute(s)
[1451883600] CURRENT SERVICE STATE: images;C:\ Drive Space;OK;HARD;1;c:\ - total: 1841.16 Gb - used: 978.61 Gb (53%) - free 862.55 Gb (47%)
[1451883600] CURRENT SERVICE STATE: images;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1451883600] CURRENT SERVICE STATE: images;Memory Usage;OK;HARD;1;Memory usage: total:37074.86 MB - used: 2276.74 MB (6%) - free: 34798.12 MB (94%)
[1451883600] CURRENT SERVICE STATE: images;NSClient++ Version;OK;HARD;1;NSClient++ 0.4.4.15 2015-11-25
[1451883600] CURRENT SERVICE STATE: images;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1451883600] CURRENT SERVICE STATE: images;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1451883600] CURRENT SERVICE STATE: images;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1451883600] CURRENT SERVICE STATE: images;Service: MDT Monitor;OK;HARD;1;MDT_Monitor: Started
[1451883600] CURRENT SERVICE STATE: images;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1451883600] CURRENT SERVICE STATE: images;Service: PXE Boot;OK;HARD;1;WDSServer: Started
[1451883600] CURRENT SERVICE STATE: images;Service: Print Spooler;OK;HARD;1;Spooler: Started
[1451883600] CURRENT SERVICE STATE: images;Service: RPC;OK;HARD;1;RpcSs: Started
[1451883600] CURRENT SERVICE STATE: images;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1451883600] CURRENT SERVICE STATE: images;Service: WMI;OK;HARD;1;Winmgmt: Started
[1451883600] CURRENT SERVICE STATE: images;Service: Windows Time;OK;HARD;1;W32Time: Started
[1451883600] CURRENT SERVICE STATE: images;Uptime;OK;HARD;1;System Uptime - 19 day(s) 8 hour(s) 42 minute(s)
[1451883600] CURRENT SERVICE STATE: lansweeper;C:\ Drive Space;OK;HARD;1;c:\ - total: 49.48 Gb - used: 26.96 Gb (54%) - free 22.52 Gb (46%)
[1451883600] CURRENT SERVICE STATE: lansweeper;CPU Load;OK;HARD;1;CPU Load 3% (5 min average)
[1451883600] CURRENT SERVICE STATE: lansweeper;Memory Usage;OK;HARD;1;Memory usage: total:5216.44 MB - used: 2387.87 MB (46%) - free: 2828.57 MB (54%)
[1451883600] CURRENT SERVICE STATE: lansweeper;NSClient++ Version;OK;HARD;1;NSClient++ 0.5.0.19 2015-12-10
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: DNS Client;OK;HARD;1;Dnscache: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: Firewall;OK;HARD;1;MpsSvc: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: Group Policy;OK;HARD;1;gpsvc: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: NetLogin;OK;HARD;1;Netlogon: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: RPC;OK;HARD;1;RpcSs: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: User Profile;OK;HARD;1;ProfSvc: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: WMI;OK;HARD;1;Winmgmt: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Service: Windows Time;OK;HARD;1;W32Time: Started
[1451883600] CURRENT SERVICE STATE: lansweeper;Uptime;OK;HARD;1;System Uptime - 12 day(s) 10 hour(s) 38 minute(s)
[1451883600] CURRENT SERVICE STATE: localhost;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1451883600] CURRENT SERVICE STATE: localhost;HTTP;CRITICAL;HARD;4;HTTP CRITICAL - Invalid HTTP response received from host: <?xml version="1.0" encoding="ISO-8859-1"?>
[1451883600] CURRENT SERVICE STATE: localhost;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.06 ms
[1451883600] CURRENT SERVICE STATE: localhost;Root Partition;OK;HARD;1;DISK OK - free space: / 69319 MB (92% inode=95%):
[1451883600] CURRENT SERVICE STATE: localhost;SSH;OK;HARD;1;SSH OK - OpenSSH_6.6.1 (protocol 2.0)
[1451883600] CURRENT SERVICE STATE: localhost;Swap Usage;OK;HARD;1;SWAP OK - 100% free (2053 MB out of 2053 MB)
[1451883600] CURRENT SERVICE STATE: localhost;Total Processes;OK;HARD;1;PROCS OK: 93 processes with STATE = RSZDT
[1451883851] Auto-save of retention data completed successfully.
[1451887451] Auto-save of retention data completed successfully.
[1451891051] Auto-save of retention data completed successfully.
[1451894651] Auto-save of retention data completed successfully.
[1451898251] Auto-save of retention data completed successfully.
[1451901851] Auto-save of retention data completed successfully.
[1451905451] Auto-save of retention data completed successfully.
[1451909051] Auto-save of retention data completed successfully.
[1451912651] Auto-save of retention data completed successfully.
[1451916251] Auto-save of retention data completed successfully.
[1451919851] Auto-save of retention data completed successfully.
[1451919947] Caught SIGTERM, shutting down...
[1451919947] Successfully shutdown... (PID=14710)
[1451919947] Event broker module 'NERD' deinitialized successfully.
[1451919948] Nagios 4.1.1 starting... (PID=7977)
[1451919948] Local time is Mon Jan 04 10:05:48 EST 2016
[1451919948] LOG VERSION: 2.0
[1451919948] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1451919948] qh: core query handler registered
[1451919948] nerd: Channel hostchecks registered successfully
[1451919948] nerd: Channel servicechecks registered successfully
[1451919948] nerd: Channel opathchecks registered successfully
[1451919948] nerd: Fully initialized and ready to rock!
[1451919948] wproc: Successfully registered manager as @wproc with query handler
[1451919948] wproc: Registry request: name=Core Worker 7980;pid=7980
[1451919948] wproc: Registry request: name=Core Worker 7979;pid=7979
[1451919948] wproc: Registry request: name=Core Worker 7982;pid=7982
[1451919948] wproc: Registry request: name=Core Worker 7981;pid=7981
[1451919948] Successfully launched command file worker with pid 7985
[1451920029] Caught SIGTERM, shutting down...
[1451920029] Successfully shutdown... (PID=7977)
[1451920029] Event broker module 'NERD' deinitialized successfully.
[1451920030] Nagios 4.1.1 starting... (PID=8280)
[1451920030] Local time is Mon Jan 04 10:07:10 EST 2016
[1451920030] LOG VERSION: 2.0
[1451920030] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1451920030] qh: core query handler registered
[1451920030] nerd: Channel hostchecks registered successfully
[1451920030] nerd: Channel servicechecks registered successfully
[1451920030] nerd: Channel opathchecks registered successfully
[1451920030] nerd: Fully initialized and ready to rock!
[1451920030] wproc: Successfully registered manager as @wproc with query handler
[1451920030] wproc: Registry request: name=Core Worker 8284;pid=8284
[1451920030] wproc: Registry request: name=Core Worker 8282;pid=8282
[1451920030] wproc: Registry request: name=Core Worker 8285;pid=8285
[1451920030] wproc: Registry request: name=Core Worker 8283;pid=8283
[1451920030] Warning: Host 'emuscript' has no default contacts or contactgroups defined!
[1451920030] Successfully launched command file worker with pid 8288
[1451920306] Caught SIGTERM, shutting down...
[1451920306] Successfully shutdown... (PID=8280)
[1451920306] Event broker module 'NERD' deinitialized successfully.
[1451920307] Nagios 4.1.1 starting... (PID=9066)
[1451920307] Local time is Mon Jan 04 10:11:47 EST 2016
[1451920307] LOG VERSION: 2.0
[1451920307] qh: Socket '/usr/local/nagios/var/rw/nagios.qh' successfully initialized
[1451920307] qh: core query handler registered
[1451920307] nerd: Channel hostchecks registered successfully
[1451920307] nerd: Channel servicechecks registered successfully
[1451920307] nerd: Channel opathchecks registered successfully
[1451920307] nerd: Fully initialized and ready to rock!
[1451920307] wproc: Successfully registered manager as @wproc with query handler
[1451920307] wproc: Registry request: name=Core Worker 9069;pid=9069
[1451920307] wproc: Registry request: name=Core Worker 9071;pid=9071
[1451920307] wproc: Registry request: name=Core Worker 9070;pid=9070
[1451920307] wproc: Registry request: name=Core Worker 9068;pid=9068
[1451920307] Warning: Host 'emuscript' has no default contacts or contactgroups defined!
